"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","Florida A&M",70.5661,154,70.4056,138,78.8851,346,87.1484,343,109.091,304,105.061,297,-17.9122,338
"2020","Florida Atlantic",70.2976,169,69.5809,177,94.8029,238,94.9811,271,98.549,166,98.9095,142,-3.92838,217
"2020","Florida Gulf Coast",69.9383,183,68.7825,211,82.4977,338,88.553,335,100.711,203,101.45,206,-12.8971,312
"2020","Florida St.",69.6597,193,70.6676,126,105.373,79,106.141,55,88.1806,41,86.1604,5,19.9809,18
"2020","Fordham",66.0321,317,66.3673,299,95.006,235,93.3503,297,85.4918,22,94.8652,82,-1.51488,177
"2020","Fresno St.",64.195,343,64.9568,323,101.149,145,102,127,108.489,297,99.4445,155,2.55538,127
"2020","Furman",70.1578,176,69.621,175,106.795,65,105.511,66,90.5283,62,94.4453,72,11.0652,70
"2020","Gardner Webb",67.1589,296,65.6882,310,96.6901,217,99.2519,180,104.765,259,101.408,202,-2.15634,194
"2020","George Mason",67.9118,271,66.7099,288,104.158,94,100.622,156,95.2686,114,97.6569,120,2.96477,121
"2020","George Washington",68.2181,258,67.3253,271,98.3169,191,95.6012,258,99.9471,189,101.562,210,-5.96126,238
"2020","Georgetown",75.2937,26,73.1729,45,103.898,99,107.792,39,98.8265,170,95.0591,84,12.7324,55
"2020","Georgia",76.9161,11,74.558,24,113.277,19,107.765,40,99.0174,175,95.9833,99,11.7816,64
"2020","Georgia Southern",76.8768,12,76.3208,12,102.065,122,102.107,123,99.4218,184,99.8053,164,2.30146,132
"2020","Georgia St.",72.7248,67,72.1311,71,103.012,106,102.46,114,102.718,235,100.75,180,1.71013,140
"2020","Georgia Tech",73.6433,54,71.5729,89,92.9475,267,100.771,153,84.5527,13,89.6937,25,11.0776,69
"2020","Gonzaga",71.5906,114,71.0354,112,118.799,3,113.139,4,88.3898,46,90.9071,38,22.2323,9
"2020","Grambling St.",72.9625,61,71.7368,85,94.8243,237,92.2437,307,105.494,272,103.682,263,-11.4382,301
"2020","Grand Canyon",67.3557,288,67.9231,249,98.1658,194,99.3641,175,102.275,228,101.596,212,-2.23213,199
"2020","Green Bay",74.7125,29,75.758,17,103.47,102,103.995,86,114.909,336,106.256,314,-2.26097,201
"2020","Hampton",71.6664,112,71.4916,93,95.4143,232,97.8995,208,120.814,347,108.66,336,-10.76,294
"2020","Hartford",68.2234,257,70.0557,150,89.9583,298,91.3266,320,99.2879,181,104.574,286,-13.2473,315
"2020","Harvard",70.2937,170,68.6637,218,99.9833,161,102.956,108,98.5508,167,96.0478,100,6.9087,99
"2020","Hawaii",70.5214,157,69.5179,184,103.969,96,99.2064,183,98.931,173,99.8448,169,-0.638424,169
"2020","High Point",69.9321,184,67.9996,245,83.212,335,89.0369,333,110.186,317,106.324,316,-17.2867,336
"2020","Hofstra",72.4547,77,71.189,105,107.953,51,105.991,58,99.9534,190,103.022,247,2.96869,120
"2020","Holy Cross",70.4226,163,69.8642,161,97.33,209,95.3176,264,118.547,345,109.887,344,-14.5696,325
"2020","Houston",70.675,150,68.4195,228,116.525,6,109.74,22,100.979,210,94.0464,70,15.6937,36
"2020","Houston Baptist",81.275,1,80.7004,1,89.5969,302,97.572,217,123.27,350,108.707,337,-11.1347,298
