Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2017,Princeton,64.5004,338,63.1958,337,109.224,58,109.017,89,95.1885,19,96.4084,45,12.609,58
2017,Providence,67.5635,267,66.2079,270,103.657,170,108.451,101,99.0374,61,96.0247,40,12.4258,60
2017,Purdue,70.0192,142,69.085,113,112.647,21,116.974,24,96.713,34,93.8542,23,23.1198,19
2017,Quinnipiac,74.8428,12,73.1645,12,101.218,222,101.58,228,110.276,318,113.019,319,-11.4386,294
2017,Radford,65.2646,325,63.9833,325,96.7223,307,96.1387,317,106.323,233,107.834,235,-11.6955,296
2017,"Rhode Island",67.4081,273,66.3794,262,108.958,61,111.468,57,96.7455,35,95.2058,30,16.2627,34
2017,Rice,73.72,27,72.6809,17,108.661,71,107.844,109,102.818,156,107.109,219,0.734984,155
2017,Richmond,69.7297,163,68.9407,120,106.165,115,110,74,102.686,152,102.791,132,7.20936,92
2017,Rider,74.0446,22,72.2225,24,101.565,210,100.875,245,101.64,130,104.576,174,-3.70136,208
2017,"Robert Morris",69.9354,151,68.7919,133,91.4943,344,91.6173,341,96.3711,31,100.386,84,-8.76843,266
2017,Rutgers,67.1803,282,66.2446,267,96.6196,309,101.5,231,100.425,92,99.2734,70,2.22683,135
2017,"Sacramento St.",67.5213,268,65.5431,293,102.629,182,100.931,241,110.044,313,112.173,310,-11.2418,291
2017,"Sacred Heart",71.9149,61,71.0808,48,99.0012,266,97.5968,296,103.689,174,109.715,274,-12.1178,301
2017,"Saint Joseph's",69.6948,166,68.4398,162,99.0066,265,102.204,215,104.281,192,103.257,143,-1.05308,184
2017,"Saint Louis",65.5487,320,63.5321,331,93.0083,337,95.3794,324,105.175,211,104.962,181,-9.58257,273
2017,"Saint Mary's",61.2371,350,60.1853,350,117.741,3,118.658,14,93.5471,9,94.9931,26,23.6652,15
2017,"Saint Peter's",63.5154,347,61.3041,347,103.648,171,102.527,210,95.0618,18,95.8527,36,6.67455,95
2017,"Sam Houston St.",72.0206,56,70.033,78,98.5098,275,97.2319,299,100.085,80,103.423,152,-6.19062,234
2017,Samford,69.3238,185,68.5778,150,108.141,81,107.772,110,105.537,217,107.51,227,0.262582,166
2017,"San Diego",64.3769,340,63.2865,335,96.9519,302,99.9993,258,108.11,268,108.384,247,-8.38494,260
2017,"San Diego St.",66.6847,296,64.9332,309,101.841,204,104.049,183,93.9561,13,95.0595,28,8.98977,78
2017,"San Francisco",69.4277,181,69.1364,109,102.132,199,102.757,204,97.2137,39,98.013,59,4.74386,111
2017,"San Jose St.",71.6272,67,70.7554,55,98.2341,281,100.36,252,104.484,194,104.464,171,-4.10386,214
2017,"Santa Clara",63.9552,341,62.5524,343,102.467,188,105.525,149,101.508,126,102.717,129,2.80743,125
2017,"Savannah St.",82.9977,1,81.0113,1,101.361,217,100.601,248,109.727,306,114.742,333,-14.141,317
2017,Seattle,70.0379,141,67.6481,208,95.3111,324,95.9669,318,101.567,129,104.716,177,-8.74952,265
2017,"Seton Hall",69.0202,206,67.5345,214,104.667,148,109.408,84,100.936,110,95.7735,34,13.6346,51
2017,Siena,70.7365,106,68.6612,143,105.663,127,106.151,143,105.279,214,106.31,206,-0.159196,170
2017,"SIU Edwardsville",70.8969,99,69.2333,107,95.4797,322,95.0491,327,108.255,272,109.198,263,-14.149,318
2017,SMU,63.7032,346,63.4642,333,116.459,9,119.751,10,94.3413,14,95.0174,27,24.7333,11
2017,"South Alabama",70.7221,107,69.7396,88,98.6445,270,98.7211,277,103.727,176,105.478,191,-6.75656,243
2017,"South Carolina",69.5582,173,68.6338,145,103.083,178,108.923,91,92.4932,6,88.1185,3,20.8043,24
2017,"South Carolina St.",69.3443,184,68.307,172,97.8511,290,98.9891,271,115.011,342,118.458,348,-19.4691,336
2017,"South Dakota",72.7682,42,70.7161,56,105.301,140,104.156,179,102.901,157,102.672,126,1.48468,143
2017,"South Dakota St.",69.216,191,67.1716,222,108.84,67,110.228,71,111.219,327,111.42,303,-1.19215,185
2017,"South Florida",69.2088,192,68.7536,137,93.3369,334,96.4148,313,107.589,262,107.695,233,-11.2805,292
2017,"Southeast Missouri St.",69.9303,152,68.5762,151,104.787,145,103.39,191,107.048,249,109.26,266,-5.86988,228
2017,"Southeastern Louisiana",69.1979,195,67.1269,227,100.723,232,97.8086,294,99.5685,67,103.87,161,-6.0611,231
2017,Southern,69.4889,177,68.5433,153,101.244,220,97.9477,290,105.268,213,113.647,322,-15.6989,326
2017,"Southern Illinois",66.1022,311,65.3738,299,101.035,227,104.789,162,103.334,165,103.7,159,1.08943,150
2017,"Southern Miss",67.2989,276,65.5196,294,91.0921,345,92.9532,335,106.824,242,108.471,249,-15.5178,325
2017,"Southern Utah",73.0392,34,71.3796,36,102.499,186,101.332,233,116.522,348,119.659,349,-18.3276,333
2017,"St. Bonaventure",70.5546,113,68.7606,136,108.079,83,109.025,88,101.505,125,101.796,108,7.22886,91
2017,"St. Francis NY",68.6091,226,67.1507,224,88.7609,348,87.9355,350,107.543,260,112.064,308,-24.1283,346
2017,"St. Francis PA",70.9544,98,70.298,69,103.976,163,102.13,216,104.67,196,109.744,275,-7.6137,254
2017,"St. John's",73.9333,24,73.2834,11,104.137,160,109.006,90,106.412,236,102.743,131,6.26278,99
2017,Stanford,69.2415,188,68.3338,171,99.67,252,104.792,161,102.997,161,98.8777,65,5.91423,102
2017,"Stephen F. Austin",68.4343,235,66.2758,264,98.0289,283,96.6655,308,99.9832,76,102.853,134,-6.18789,233
2017,Stetson,74.5255,13,72.3926,22,101.122,224,100.915,243,112.851,333,115.363,334,-14.4475,319
2017,"Stony Brook",66.9305,289,65.8763,281,103.519,172,101.808,223,102.94,158,105.909,195,-4.10131,213
2017,Syracuse,67.9078,253,66.8423,243,111.564,33,115.652,30,103.857,180,102.347,119,13.3053,55
2017,TCU,68.1236,248,67.0689,230,108.516,72,114.485,37,101.994,134,96.9719,50,17.5128,29
2017,Temple,67.8472,256,67.1134,229,103.247,176,108.279,105,103.872,181,104.348,167,3.93172,118
2017,Tennessee,71.3506,82,69.3932,100,103.286,175,110.091,73,101.41,123,97.4694,55,12.6216,57
2017,"Tennessee Martin",69.4556,179,67.5023,215,107.871,85,106.715,132,108.504,279,110.631,291,-3.91587,210
2017,"Tennessee St.",68.4361,234,66.9912,237,100.603,233,100.302,253,98.4247,50,99.7078,74,0.594182,160
2017,"Tennessee Tech",69.9928,147,68.302,173,100.199,242,98.9418,272,105.195,212,106.973,218,-8.03084,257
2017,Texas,68.5314,230,67.5758,212,97.8613,289,104.183,177,100.697,101,93.6772,21,10.5062,70
2017,"Texas A&M",66.8153,291,64.5352,313,104.924,143,108.746,95,101.379,121,97.2568,54,11.4894,64
2017,"Texas A&M Corpus Chris",69.8,158,68.7958,132,104.518,153,102.835,203,100.926,109,103.325,145,-0.489847,177
2017,"Texas Southern",69.5673,172,68.6329,146,105.932,120,103.481,189,103.632,173,107.523,228,-4.04136,212
2017,"Texas St.",63.8833,343,62.2835,345,102.156,197,101.316,234,99.0151,60,101.677,105,-0.36103,174
2017,"Texas Tech",66.0026,312,63.8164,327,109.432,56,112.597,44,100.149,84,97.4869,56,15.1099,41
2017,"The Citadel",80.6715,2,79.7419,2,104.44,156,105.519,150,116.082,346,116.545,340,-11.0258,288
2017,Toledo,69.103,201,66.3729,263,108.953,62,108.811,93,105.93,224,106.124,203,2.6862,128
2017,Towson,68.7238,220,67.9027,196,105.278,141,105.463,151,100.828,106,101.243,100,4.22012,116
